Family,SpeciesName,WoodDensity,Reference,,,,,,
NA,Shorea smithiana,0.513,"Nikalas et al., 2010. Worldwide correlations of mechanical properties and green wood density",,,,,,
NA,Shorea superba,0.945,"Nikalas et al., 2010. Worldwide correlations of mechanical properties and green wood density",,,,,,
NA,Shorea superba,1.057,"Nikalas et al., 2010. Worldwide correlations of mechanical properties and green wood density",,,,,,
NA,Shorea waltonii,0.529,"Nikalas et al., 2010. Worldwide correlations of mechanical properties and green wood density",,,,,,
NA,Staudtia stipitata,1.139,"Nikalas et al., 2010. Worldwide correlations of mechanical properties and green wood density",,,,,,
NA,Sterculia oblonga,0.913,"Nikalas et al., 2010. Worldwide correlations of mechanical properties and green wood density",,,,,,
NA,Sterculia rhinopetala,0.961,"Nikalas et al., 2010. Worldwide correlations of mechanical properties and green wood density",,,,,,
NA,Swartzia leiocalycine,1.298,"Nikalas et al., 2010. Worldwide correlations of mechanical properties and green wood density",,,,,,
NA,Symphonia globulifera,0.881,"Nikalas et al., 2010. Worldwide correlations of mechanical properties and green wood density",,,,,,
NA,Syncarpia glomulifera,1.025,"Nikalas et al., 2010. Worldwide correlations of mechanical properties and green wood density",,,,,,
NA,Tarrietia utilis,0.817,"Nikalas et al., 2010. Worldwide correlations of mechanical properties and green wood density",,,,,,
NA,Tectona grandis,0.801,"Nikalas et al., 2010. Worldwide correlations of mechanical properties and green wood density",,,,,,
NA,Tectona grandis,0.801,"Nikalas et al., 2010. Worldwide correlations of mechanical properties and green wood density",,,,,,
NA,Tectona grandis,0.817,"Nikalas et al., 2010. Worldwide correlations of mechanical properties and green wood density",,,,,,
NA,Terminalia amazonica,0.961,"Nikalas et al., 2010. Worldwide correlations of mechanical properties and green wood density",,,,,,
NA,Tieghemelia heckerii,0.801,"Nikalas et al., 2010. Worldwide correlations of mechanical properties and green wood density",,,,,,
NA,Tilia vulgaris,0.657,"Nikalas et al., 2010. Worldwide correlations of mechanical properties and green wood density",,,,,,
NA,Triplochiton scleroxylon,0.465,"Nikalas et al., 2010. Worldwide correlations of mechanical properties and green wood density",,,,,,
NA,Ulmus glabra,0.753,"Nikalas et al., 2010. Worldwide correlations of mechanical properties and green wood density",,,,,,
NA,Ulmus hollandica,0.641,"Nikalas et al., 2010. Worldwide correlations of mechanical properties and green wood density",,,,,,
NA,Ulmus procera,0.641,"Nikalas et al., 2010. Worldwide correlations of mechanical properties and green wood density",,,,,,
NA,Virola koschnyi,0.657,"Nikalas et al., 2010. Worldwide correlations of mechanical properties and green wood density",,,,,,
NA,Vochvsia sp.,0.657,"Nikalas et al., 2010. Worldwide correlations of mechanical properties and green wood density",,,,,,
NA,Vochysia hondurensis,0.577,"Nikalas et al., 2010. Worldwide correlations of mechanical properties and green wood density",,,,,,
Rutaceae,Maclurodendron porteri,0.55,"Lida et al., 2011. Wood density explains architectural differentiation across 145 co_occurring tropical tree species",,,,,,
Meliaceae,Aglaia aspera,0.71,"Lida et al., 2011. Wood density explains architectural differentiation across 145 co_occurring tropical tree species",,,,,,
Meliaceae,Aglaia exstipulata,0.8,"Lida et al., 2011. Wood density explains architectural differentiation across 145 co_occurring tropical tree species",,,,,,
Meliaceae,Aglaia forbesii,0.66,"Lida et al., 2011. Wood density explains architectural differentiation across 145 co_occurring tropical tree species",,,,,,
Meliaceae,Aglaia grandis,0.66,"Lida et al., 2011. Wood density explains architectural differentiation across 145 co_occurring tropical tree species",,,,,,
Meliaceae,Aglaia lawii,0.6,"Lida et al., 2011. Wood density explains architectural differentiation across 145 co_occurring tropical tree species",,,,,,
Rubiaceae,Aidia wallichiana,0.63,"Lida et al., 2011. Wood density explains architectural differentiation across 145 co_occurring tropical tree species",,,,,,
Alangiaceae,Alangium ridleyi,0.78,"Lida et al., 2011. Wood density explains architectural differentiation across 145 co_occurring tropical tree species",,,,,,
Annonaceae,Alphonsea elliptica,0.85,"Lida et al., 2011. Wood density explains architectural differentiation across 145 co_occurring tropical tree species",,,,,,
Olacaceae,Anacolosa frutescens,0.62,"Lida et al., 2011. Wood density explains architectural differentiation across 145 co_occurring tropical tree species",,,,,,
Anisophylleaceae,Anisophyllea corneri,0.8,"Lida et al., 2011. Wood density explains architectural differentiation across 145 co_occurring tropical tree species",,,,,,
Euphorbiaceae,Antidesma coriaceum,0.72,"Lida et al., 2011. Wood density explains architectural differentiation across 145 co_occurring tropical tree species",,,,,,
Euphorbiaceae,Antidesma cuspidatum,0.8,"Lida et al., 2011. Wood density explains architectural differentiation across 145 co_occurring tropical tree species",,,,,,
Euphorbiaceae,Aporusa globifera,0.71,"Lida et al., 2011. Wood density explains architectural differentiation across 145 co_occurring tropical tree species",,,,,,
Euphorbiaceae,Aporusa nigricans,0.68,"Lida et al., 2011. Wood density explains architectural differentiation across 145 co_occurring tropical tree species",,,,,,
Euphorbiaceae,Aporusa symplocoides,0.64,"Lida et al., 2011. Wood density explains architectural differentiation across 145 co_occurring tropical tree species",,,,,,
Thymelaeaceae,Aquilaria malaccensis,0.32,"Lida et al., 2011. Wood density explains architectural differentiation across 145 co_occurring tropical tree species",,,,,,
Leguminosae: Mimosa-Group,Archidendron bubalinum,0.38,"Lida et al., 2011. Wood density explains architectural differentiation across 145 co_occurring tropical tree species",,,,,,
Myrsinaceae,Ardisia crassa,0.61,"Lida et al., 2011. Wood density explains architectural differentiation across 145 co_occurring tropical tree species",,,,,,
Myrsinaceae,Ardisia kunstleri,0.71,"Lida et al., 2011. Wood density explains architectural differentiation across 145 co_occurring tropical tree species",,,,,,
Myrsinaceae,Ardisia pachysandra,0.65,"Lida et al., 2011. Wood density explains architectural differentiation across 145 co_occurring tropical tree species",,,,,,
Moraceae,Artocarpus lowii,0.54,"Lida et al., 2011. Wood density explains architectural differentiation across 145 co_occurring tropical tree species",,,,,,
Moraceae,Artocarpus maingayi,0.48,"Lida et al., 2011. Wood density explains architectural differentiation across 145 co_occurring tropical tree species",,,,,,
Moraceae,Artocarpus scortechinii,0.44,"Lida et al., 2011. Wood density explains architectural differentiation across 145 co_occurring tropical tree species",,,,,,
Euphorbiaceae,Baccaurea reticulata,0.78,"Lida et al., 2011. Wood density explains architectural differentiation across 145 co_occurring tropical tree species",,,,,,
Lecythidaceae,Barringtonia macrostachya,0.6,"Lida et al., 2011. Wood density explains architectural differentiation across 145 co_occurring tropical tree species",,,,,,
Lecythidaceae,Barringtonia pendula,0.52,"Lida et al., 2011. Wood density explains architectural differentiation across 145 co_occurring tropical tree species",,,,,,
Lauraceae,Beilschmiedia lucidula,0.5,"Lida et al., 2011. Wood density explains architectural differentiation across 145 co_occurring tropical tree species",,,,,,
Lauraceae,Beilschmiedia madang,0.47,"Lida et al., 2011. Wood density explains architectural differentiation across 145 co_occurring tropical tree species",,,,,,
Celastraceae,Bhesa paniculata,0.66,"Lida et al., 2011. Wood density explains architectural differentiation across 145 co_occurring tropical tree species",,,,,,
Euphorbiaceae,Blumeodendron subrotundifolium,0.55,"Lida et al., 2011. Wood density explains architectural differentiation across 145 co_occurring tropical tree species",,,,,,
Anacardiaceae,Bouea macrophylla,0.68,"Lida et al., 2011. Wood density explains architectural differentiation across 145 co_occurring tropical tree species",,,,,,
Anacardiaceae,Bouea oppositifolia,0.75,"Lida et al., 2011. Wood density explains architectural differentiation across 145 co_occurring tropical tree species",,,,,,
Clusiaceae,Calophyllum dioscurii,0.59,"Lida et al., 2011. Wood density explains architectural differentiation across 145 co_occurring tropical tree species",,,,,,
Burseraceae,Canarium pilosum,0.47,"Lida et al., 2011. Wood density explains architectural differentiation across 145 co_occurring tropical tree species",,,,,,
Rhizophoraceae,Carallia brachiata,0.66,"Lida et al., 2011. Wood density explains architectural differentiation across 145 co_occurring tropical tree species",,,,,,
Opiliaceae,Champereia manillana,0.69,"Lida et al., 2011. Wood density explains architectural differentiation across 145 co_occurring tropical tree species",,,,,,
Lauraceae,Cinnamomum javanicum,0.45,"Lida et al., 2011. Wood density explains architectural differentiation across 145 co_occurring tropical tree species",,,,,,
Euphorbiaceae,Cleistanthus maingayi,0.68,"Lida et al., 2011. Wood density explains architectural differentiation across 145 co_occurring tropical tree species",,,,,,
Bombacaceae,Coelostegia griffithii,0.59,"Lida et al., 2011. Wood density explains architectural differentiation across 145 co_occurring tropical tree species",,,,,,
Euphorbiaceae,Croton laevifolius,0.43,"Lida et al., 2011. Wood density explains architectural differentiation across 145 co_occurring tropical tree species",,,,,,
Lauraceae,Cryptocarya kurzii,0.61,"Lida et al., 2011. Wood density explains architectural differentiation across 145 co_occurring tropical tree species",,,,,,
Ctenolophonaceae,Ctenolophon parvifolius,0.74,"Lida et al., 2011. Wood density explains architectural differentiation across 145 co_occurring tropical tree species",,,,,,
Burseraceae,Dacryodes rugosa,0.74,"Lida et al., 2011. Wood density explains architectural differentiation across 145 co_occurring tropical tree species",,,,,,
Burseraceae,Dacryodes rubiginosa,0.58,"Lida et al., 2011. Wood density explains architectural differentiation across 145 co_occurring tropical tree species",,,,,,
Burseraceae,Dacryodes rostrata,0.55,"Lida et al., 2011. Wood density explains architectural differentiation across 145 co_occurring tropical tree species",,,,,,
Leguminosae: Dialium-Group,Dialium procerum,0.71,"Lida et al., 2011. Wood density explains architectural differentiation across 145 co_occurring tropical tree species",,,,,,
Dilleniaceae,Dillenia sumatrana,0.68,"Lida et al., 2011. Wood density explains architectural differentiation across 145 co_occurring tropical tree species",,,,,,
Ebenaceae,Diospyros argentea,0.69,"Lida et al., 2011. Wood density explains architectural differentiation across 145 co_occurring tropical tree species",,,,,,
Ebenaceae,Diospyros andamanica,0.6,"Lida et al., 2011. Wood density explains architectural differentiation across 145 co_occurring tropical tree species",,,,,,
Ebenaceae,Diospyros apiculata,0.72,"Lida et al., 2011. Wood density explains architectural differentiation across 145 co_occurring tropical tree species",,,,,,
Ebenaceae,Diospyros buxifolia,0.78,"Lida et al., 2011. Wood density explains architectural differentiation across 145 co_occurring tropical tree species",,,,,,
Ebenaceae,Diospyros pendula,0.69,"Lida et al., 2011. Wood density explains architectural differentiation across 145 co_occurring tropical tree species",,,,,,
Ebenaceae,Diospyros scortechinii,0.75,"Lida et al., 2011. Wood density explains architectural differentiation across 145 co_occurring tropical tree species",,,,,,
Ebenaceae,Diospyros singaporensis,0.83,"Lida et al., 2011. Wood density explains architectural differentiation across 145 co_occurring tropical tree species",,,,,,
Ebenaceae,Diospyros sumatrana,0.61,"Lida et al., 2011. Wood density explains architectural differentiation across 145 co_occurring tropical tree species",,,,,,
Ebenaceae,Diospyros venosa,0.72,"Lida et al., 2011. Wood density explains architectural differentiation across 145 co_occurring tropical tree species",,,,,,
Dipterocarpaceae,Dipterocarpus costulatus,0.74,"Lida et al., 2011. Wood density explains architectural differentiation across 145 co_occurring tropical tree species",,,,,,
